Город;Субъект РФ;с.ш.;в.д.;Население;
Шадринск;Курганская;56.0867827;63.629374;68609;
Шали;Чечня;43.1418894;45.903733;55054;
Шарыпово;Красноярский;55.5323307;89.18353;33961;
Шарья;Костромская;58.3799569;45.513932;20439;
Шахты;Ростовская;47.7086074;40.216038;226452;
Шахунья;Нижегородская;57.6734511;46.610727;17626;
Шацк;Рязанская;54.0255539;41.712258;5927;
Шебекино;Белгородская;50.4075868;36.897134;39680;
Шелехов;Иркутская;52.2075403;104.09883;41998;
Шенкурск;Архангельская;62.1060951;42.903019;4600;
Шилка;Забайкальский;51.8526624;116.03349;12046;
Шимановск;Амурская;51.9980218;127.67034;16488;
Шиханы;Саратовская;52.1173637;47.20765;5155;
Шлиссельбург;Ленинградская;59.9464719;31.034169;14131;
Шумерля;Чувашия;55.5217803;46.377119;26873;
Шумиха;Курганская;55.2283647;63.299543;16264;
Шуя;Ивановская;56.8511341;41.357534;55225;
Щёкино;Тульская;53.9990575;37.509633;55109;
Щёлкино;Крым;45.4225908;35.820615;10131;
Щёлково;Московская;55.917038;38.0369348;134211;
Щигры;Курская;51.8732372;36.912447;14927;
Щучье;Курганская;55.2093517;62.752312;8252;
Электрогорск;Московская;55.8845819;38.785644;29982;
Электросталь;Московская;55.7835532;38.455161;146403;
Электроугли;Московская;55.7156109;38.20932;17944;
Элиста;Калмыкия;46.3154883;44.279401;102583;
Энгельс;Саратовская;51.4867682;46.125135;225428;
Эртиль;Воронежская;51.8380683;40.801628;10024;
Югорск;Ханты-Мансийский;61.3138277;63.342955;38238;
Южа;Ивановская;56.5837897;42.011747;12957;
Южно-Сахалинск;Сахалинская;46.9640949;142.72847;181587;
Южно-Сухокумск;Дагестан;44.6611202;45.647324;10503;
Южноуральск;Челябинская;54.4420646;61.260628;37478;
Юрга;Кемеровская;55.7142703;84.921361;79693;
Юрьевец;Ивановская;57.3179036;43.110852;7899;
Юрьев-Польский;Владимирская;56.4990965;39.681235;17276;
Юрюзань;Челябинская;54.8529228;58.421298;10284;
Юхнов;Калужская;54.7439833;35.236071;6610;
Ядрин;Чувашия;55.9467141;46.203034;7918;
Якутск;Якутия;62.0396912;129.74221;355443;
Ялта;Крым;44.4909462;34.153268;74652;
Ялуторовск;Тюменская;56.6551336;66.311643;38853;
Янаул;Башкортостан;56.2672277;54.931977;25908;
Яранск;Кировская;57.3044418;47.885799;14284;
Яровое;Алтайский;52.9322752;78.573113;16424;
Ярославль;Ярославская;57.6260744;39.88447;577279;
Ярцево;Смоленская;55.066238;32.6880143;41452;
Ясногорск;Тульская;54.4791201;37.693187;15269;
Ясный;Оренбургская;51.0329523;59.880144;15471;
Яхрома;Московская;56.2900004;37.483549;14011;
